[CATEGORIES]
S1,0-100,50,2,111111 MRU
S2,101-500,300,3,10000 MRU
S3,501-1000,750,2,10000 MRU
S4,1001+,1500,1,10000 MRU

[CLIENTS]
nom,prenom,numero_telephone,id_categorie
Bemba,Ahmedou,+222 44 75 05 50,S1
Muhamdi,Fatima,+222 46 23 45 67,S1
Fall,Aminata,+222 45 12 34 56,S1
Sy,Oumar,+222 47 23 45 67,S1
Diallo,Issa,+222 47 34 56 78,S2
Haroun,Ba,+222 48 45 67 89,S2
Abeibeck,Sidi Mohamed,+222 49 56 78 90,S2
Kane,Mariem,+222 46 12 34 56,S2
Sow,Abdoulaye,+222 45 23 45 67,S2
Traore,Khadija,+222 44 34 56 78,S2
Deddah,Elhamd,+222 45 67 89 01,S3
Ahmed,Cheibani,+222 46 78 90 12,S3
Camara,Mamadou,+222 46 78 90 55,S3
Balde,Aissatou,+222 46 78 90 44,S3
Diop,Moussa,+222 46 78 90 45,S3
Barry,Fatou,+222 46 78 90 22,S3
Cisse,Ibrahima,+222 46 78 90 33,S3
Toure,Mariama,+222 46 78 90 42,S3
Keita,Saliou,+222 46 78 90 11,S3
Diane,Awa,+222 46 78 90 13,S3
Sangare,Boubacar,+222 46 78 22 18,S3
Konate,Nene,+222 46 78 33 17,S3
Coulibaly,Seydou,+222 46 78 44 21,S3
Diabate,Hawa,+222 46 78 55 12,S3
Doumbia,Lassana,+222 46 78 66 12,S3
Fofana,Adama,+222 46 78 77 13,S3
Sidibe,Fatoumata,+222 46 78 88 14,S3
Kone,Youssouf,+222 46 78 99 15,S3
Tall,Aminata,+222 45 11 22 33,S3
Dabo,Ousmane,+222 45 22 33 44,S3
Ndiaye,Awa,+222 45 33 44 55,S3
Gueye,Ablaye,+222 45 44 55 66,S3
Thiam,Khady,+222 45 55 66 77,S3
Sarr,Modou,+222 45 66 77 88,S3
Wade,Ndeye,+222 45 77 88 99,S3
Camara,Fatoumata,+222 00 00 00 00,S4
Bah,Mohamed,+222 48 90 12 34,S4
Sall,Aisssata,+222 49 01 23 45,S4
Ly,Boubacar,+222 44 12 23 34,S4
Soumare,Fatimata,+222 45 23 34 45,S4
